YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,ALLSKY_SFC_UV_INDEX
2022,1,1,0,14.28,13.73,14.01,9.64,96.38,0,101.92,2.17,329.74,3.51,329.67,0
2022,1,1,1,13.83,13.71,13.77,9.64,99.06,0,101.91,2.26,331.75,3.57,331.75,0
2022,1,1,2,13.44,13.69,13.56,9.58,100,0,101.89,2.29,333.26,3.57,333.04,0
2022,1,1,3,13.21,13.65,13.44,9.58,100,0,101.87,2.23,333.79,3.46,333.72,0
2022,1,1,4,12.98,13.61,13.3,9.58,100,0,101.86,1.99,334.44,3.18,334.38,0
2022,1,1,5,12.76,13.51,13.13,9.46,100,0,101.89,1.78,335.91,2.97,335.79,0
2022,1,1,6,12.66,13.4,13.03,9.4,100,0,101.93,1.62,337.38,2.83,337.26,0
2022,1,1,7,14.38,13.82,14.1,9.7,96.25,0,101.98,2.05,337.83,2.94,337.86,0.1
2022,1,1,8,15.63,14.33,14.98,10.01,91.81,0,102.01,2.3,334.91,3.01,334.83,0.75
2022,1,1,9,16.68,14.86,15.77,10.38,88.81,0,102.03,2.14,329.97,2.74,330.07,2.08
2022,1,1,10,17.72,15.33,16.52,10.68,85.75,0,101.99,2.42,334.59,3.15,334.77,3.58
2022,1,1,11,19.14,15.33,17.24,10.68,78.44,0,101.88,2.59,340.42,3.41,340.44,4.8
2022,1,1,12,21.06,15.36,18.21,10.74,69.75,0,101.78,2.58,336.78,3.33,336.8,4.7
2022,1,1,13,22.5,15.28,18.89,10.68,63.62,0,101.68,2.14,329.32,2.76,329.37,3.67
2022,1,1,14,22.9,15.08,18.99,10.56,61.31,0,101.62,1.7,320.97,2.22,320.99,2.15
2022,1,1,15,22.65,15.24,18.95,10.68,62.81,0,101.58,1.29,316.47,1.8,316.59,0.8
2022,1,1,16,21.4,16.15,18.77,11.29,71.94,0,101.57,0.81,308.31,1.37,308.3,0.1
2022,1,1,17,19.49,13.92,16.7,9.77,70.12,0,101.59,1,295.37,1.69,296.33,0
2022,1,1,18,18.22,13.55,15.89,9.52,74.12,0,101.63,1.25,295.92,2.17,296.75,0
2022,1,1,19,16.95,13.55,15.25,9.52,80.25,0,101.69,1.44,301.71,2.68,301.88,0
2022,1,1,20,15.98,13.5,14.74,9.52,85.06,0,101.75,1.67,309.5,3.16,309.28,0
2022,1,1,21,15.37,13.5,14.43,9.52,88.56,0,101.79,1.81,315.35,3.34,315.19,0
2022,1,1,22,14.79,13.65,14.22,9.58,92.75,0,101.79,1.84,319.29,3.32,319.3,0
2022,1,1,23,14.25,13.8,14.03,9.7,97,0,101.75,1.85,323.42,3.26,323.38,0
2022,1,2,0,13.75,13.87,13.81,9.7,100,0,101.73,1.83,327.53,3.21,327.43,0
2022,1,2,1,13.28,13.83,13.56,9.7,100,0,101.7,1.84,330.16,3.16,330.2,0
2022,1,2,2,12.85,13.74,13.3,9.64,100,0,101.67,1.84,331.58,3.13,331.52,0
2022,1,2,3,12.49,13.52,13.01,9.52,100,0,101.66,1.89,333.97,3.16,333.88,0
2022,1,2,4,12.2,13.21,12.7,9.34,100,0,101.67,1.91,337.94,3.17,337.86,0
2022,1,2,5,12.04,12.95,12.49,9.16,100,0,101.72,1.89,340.67,3.12,340.52,0
